題目,A,B,C,D,答案,難度
北港朝天宮主要供奉哪位神明？,王爺,關聖帝君,媽祖,土地公,C,1
朝天宮位於哪一個縣市？,嘉義縣,雲林縣,彰化縣,台南市,B,1
媽祖又被稱為什麼？,觀音佛祖,三太子,天上聖母,玉皇大帝,C,1
虎爺常被信眾祈求什麼？,考試進步,財運與平安,天氣晴朗,長高,B,1
求學業進步應該拜哪一殿？,觀音殿,三官殿,文昌殿,開山堂,C,1
文昌殿主要掌管什麼？,健康,學業考試,天氣,農業,B,1
觀音殿主祀哪位神明？,觀音菩薩,媽祖,關公,土地公,A,1
月老星君供奉在哪一殿？,文昌殿,正殿,開山堂,三官殿,D,1
註生娘娘主要保佑什麼？,生育與幼童平安,財運,考試,農作豐收,A,1
朝天宮的格局稱為什麼？,三落五院,五落八殿,四落八殿一埕七院,七落四院,C,1
朝天宮創建於哪一年？,1694年,1812年,1906年,1964年,A,1
朝天宮開山人物是誰？,陳應彬,浣衷和尚,樹璧和尚,張九年,C,1
樹璧和尚從哪裡迎請媽祖來台？,泉州,湄洲,福州,廣州,B,1
北港迎媽祖最重要的月份是？,正月,二月,三月,五月,C,1
藝閣遊行中的主角多半是？,老人,小朋友,警察,老師,B,1
藝閣上的小朋友會發送什麼？,平安糖,玩具車,水果,便當,A,1
北港迎媽祖屬於台灣三大什麼之一？,燈會,廟會,炮祭,遊行,C,1
進香時最重要的儀式是？,跳鍾馗,起火坩,放天燈,搶孤,B,1
朝天宮是什麼等級古蹟？,縣定古蹟,市定古蹟,國定古蹟,世界遺產,C,1
朝天宮建築坐向為何？,座東朝西,座西朝東,座南朝北,座北朝南,D,1
千里眼將軍的皮膚顏色是？,紅色,藍色,綠色,黑色,C,2
順風耳將軍主要負責什麼？,看世間苦難,聽世間求救,管理財運,保佑考試,B,2
媽祖神桌下方供奉哪位神明？,福德正神,太子爺,虎爺,月老,C,2
聖父母殿供奉誰？,媽祖父母,歷代皇帝,地方仕紳,開山匠師,A,2
朝天宮原本曾被稱為什麼？,天后宮,媽祖宮,聖母宮,湄洲宮,A,2
